title,summary,link,published
โจ๋จุดไฟเผาขยะ-ยางรถยนต์ 3 จุด นำแผงเหล็กปิดกั้นการจราจร,"มีรายงานว่า เมื่อเวลา 20.15 น. กลุ่มวัยรุ่นจุดไฟเผาขยะและยางรถยนต์ 3 จุด ได้แก่ บริเวณใต้ทางด่วนดินแดง , เชิงสะพานข้ามแยกสามเหลี่ยมดินแดง และช่วงก่อนลงอุโมงค์ดินแดง นอกจากนี้ ได้นำแผงเหล็กมาปิดกั้นการจราจรไม่ให้รถยนต์ผ่าน",https://mgronline.com/uptodate/detail/9640000095393,26_09_2021
แผ่นดินไหวเวียดนาม 4.3 ริกเตอร์ ไม่มีรายงานความเสียหาย,วันนี้ (26 ก.ย.) เวลา 18.35 น. เกิดแผ่นดินไหวประเทศเวียดนาม ขนาด 4.3 ตามมาตราริกเตอร์ ลึกจากผิวดิน 10 กิโลเมตร ไม่มีรายงานความเสียหาย,https://mgronline.com/uptodate/detail/9640000095391,26_09_2021
"สปสช.สรุปผลแจก ATK แล้ว 268,450 ชุด","สำนักงานหลักประกันสุขภาพแห่งชาติ สรุปผลแจก ATK ให้ประชาชนกลุ่มเสี่ยงตรวจโควิด-19 ด้วยตนเอง ข้อมูล ณ วันที่ 26 ก.ย.64 เวลา 16.00 น.-แจก ATK แล้ว 268,450 ชุด 134,221 คน-ผ่านแอปเป๋าตัง 133,426 คน-ผ่าน อสม. 795 คนกลุ่มเป้าหมายที่ได้รั",https://mgronline.com/uptodate/detail/9640000095381,26_09_2021
สระแก้วพบผู้ติดเชื้อโควิดรายใหม่ 130 ราย,นพ.ประภาส ผูกดวง นายแพทย์สาธารณสุขจังหวัดสระแก้ว เปิดเผยว่า วันนี้มีผู้ติดเชื้อโควิด-19 จำนวน 130 ราย แยกเป็นผู้ติดเชื้อในจังหวัด 106 ราย ติดเชื้อจากจังหวัดอื่น 3 ราย ติดเชื้อจากต่างประเทศ 1 ราย ผู้ต้องขัง 20 ราย ผู้ป่วยยืนยันสะสม,https://mgronline.com/uptodate/detail/9640000095377,26_09_2021
นักวิชาการเตือนลงทุน'ไม้ด่าง-กล้วยด่าง' ต้องวางแผนให้ดี-วิเคราะห์ราคาก่อนซื้อ,รศ.ดร.สุรวิช วรรณไกรโรจน์ นักวิชาการด้านไม้ด่าง อาจารย์ข้าราชการบำนาญภาควิชาพืชสวน คณะเกษตร มหาวิทยาลัยเกษตรศาสตร์ กล่าวว่า มีการปั่นราคาไม้ด่างและกล้วยด่าง ตั้งแต่โควิด-19 ระบาดระลอกที่แล้ว เนื่องจากลงทุนธุรกิจอะไรไม่ได้ ก็หันมาล,https://mgronline.com/uptodate/detail/9640000095371,26_09_2021
อุทยานประวัติศาสตร์สุโขทัยยันน้ำไม่ท่วม สะท้อนภูมิปัญญาระบบชลประทานเมื่อ 700 กว่าปี,เพจเฟซบุ๊ก “อุทยานประวัติศาสตร์สุโขทัย” โพสต์ระบุว่า อุทยาน “น้ำไม่ท่วม” แต่น้ำเต็มสระต่างๆ แล้ว สะท้อนภูมิปัญญาของคนสมัยสุโขทัยในการบริหารจัดการระบบชลประทานเมื่อ 700 กว่าปีมาแล้วได้เป็นอย่างดี ท่านใดสนใจเรื่องราวการจัดการน้ำสมัยส,https://mgronline.com/uptodate/detail/9640000095367,26_09_2021
แนวร่วมธรรมศาสตร์ฯ ยุติกิจกรรม “ครบรอบ 1 ปีความจริงสู่ความหวัง”แล้ว,เพจแนวร่วมธรรมศาสตร์และการชุนนุม โพสต์ระบุว่า ยุติกิจกรรม ครบรอบ 1 ปีความจริงสู่ความหวัง ในวันนี้ พวกเราขอขอบคุณแรงสนับสนุนจากมวลชนทุก ๆ ท่านแล้วสู้ไปด้วยกันจนถึงฝั่งฝัน,https://mgronline.com/uptodate/detail/9640000095364,26_09_2021
สิงห์บุรีเตือน 3 อำเภอ รับมือปริมาณน้ำเพิ่มสูงขึ้น หลังเขื่อนเจ้าพระยาเพิ่มระบายน้ำ,"เฟซบุ๊ก ส.ปชส.สิงห์บุรี โพสต์ระบุว่า ด่วน วันนี้ (26  ก.ย.64) เวลา 17.00 น. เขื่อนเจ้าพระยาจะเพิ่มการระบายน้ำเป็น 2,500 ลบม./วินาที ขอให้พี่น้องประชาชนในพื้นที่อำเภออินทร์บุรี อำเภอเมือง อำเภอพรหมบุรี เตรียมพร้อมรับมือ จากปริมาณน้",https://mgronline.com/uptodate/detail/9640000095353,26_09_2021
แนวร่วมธรรมศาสตร์ฯ จัดกิจกรรม 1 ปีจากความจริงสู่ความหวังที่หน้าหอศิลป์,"กลุ่มแนวร่วมธรรมศาสตร์และการชุมนุม จัดกิจกรรมนิทรรศการงานศิลปะ ""หนึ่งปี...จากความจริงสู่ความหวัง"" บริเวณลานหน้าหอศิลป์กรุงเทพฯ โดยมีมวลชนมาเข้าร่วมจำนวนหนึ่ง และมีกิจกรรมการเขียนข้อความลงบนผ้าใบ และเสื้อ รวมถึงติดรูปสัญลักษณ์บริเว",https://mgronline.com/uptodate/detail/9640000095349,26_09_2021
สงขลาพบผู้ติดเชื้อโควิดรายใหม่ 409 คน ตาย 1 คน,"สำนักงานสาธารณสุขจังหวัดสงขลา รายงานสถานการณ์โควิด-19 ประจำวันที่ 26 ก.ย.64 มีผู้ป่วยโควิดรายใหม่ 409 คน ผู้ป่วยสะสม 29,196 คน รักษาตัวในโรงพยาบาล 5,662 คน รักษาหายกลับบ้าน 23,386 คน เสียชีวิต 1 คน เสียชีวิตสะสม 148 คน",https://mgronline.com/uptodate/detail/9640000095344,26_09_2021
